Timestamp,Python_version,Numpy_version,Time
2019-07-11 18:45:19.142136,3.6.8,1.15.4,18.470967
2019-07-11 18:54:27.669572,3.6.8,1.15.4,18.114670
2019-07-11 19:37:53.495000,3.6.8,1.15.4,18.129576
